toode_id,nimetus,kategooria,hind
101,Sülearvuti Asus ZenBook,Arvutid,950
102,Sülearvuti Apple MacBook Air,Arvutid,1200
103,"Monitor Dell 27""",Arvutid,290
104,Nutitelefon Samsung Galaxy S24,Telefonid,850
105,Nutitelefon iPhone 15,Telefonid,990
106,Juhtmevabad kõrvaklapid Sony,Lisaseadmed,180
107,Arvutihiir Logitech MX Master,Lisaseadmed,95
108,Klaviatuur Razer BlackWidow,Lisaseadmed,130
109,Tahvelarvuti iPad Air,Tahvelarvutid,650
110,Nutikell Garmin Fenix,Lisaseadmed,590
111,Väline kõvaketas 2TB,Lisaseadmed,85
112,Mälupulk 128GB,Lisaseadmed,20
113,USB-C jaotur/dokk,Lisaseadmed,65
114,Mängukonsool PlayStation 5,Mängud,520
115,Mänguritool Razer,Mööbel,350
