tellimus_rida_id,tellimus_id,toode_id,kogus,allahindlus_pct
1,1001,104,1,0
2,1001,106,1,10
3,1002,101,1,5
4,1002,107,1,0
5,1002,112,2,15
6,1003,105,1,0
7,1004,114,1,10
8,1004,108,1,0
9,1005,102,1,20
10,1006,109,1,5
11,1006,113,1,0
12,1007,103,1,0
13,1007,106,1,10
14,1008,104,1,15
15,1008,110,1,0
16,1009,101,1,0
17,1010,111,1,10
18,1010,112,3,20
19,1010,107,1,0
20,1011,105,1,5
21,1011,106,2,0
22,1012,115,1,0
23,1013,102,1,10
24,1013,113,1,0
25,1014,108,1,5
26,1014,112,2,0
27,1015,103,2,0
28,1015,107,1,10
29,1016,104,1,0
30,1017,110,1,15
31,1017,106,1,0
32,1018,114,1,5
33,1018,115,1,0
34,1019,101,1,10
35,1019,108,1,0
36,1019,111,1,20
37,1020,109,1,0
38,1021,105,1,10
39,1021,112,2,15
40,1022,103,1,0
41,1022,107,1,5
42,1022,113,1,0
43,1023,102,1,0
44,1024,104,1,20
45,1024,106,1,10
46,1025,110,1,0
47,1025,108,1,5
48,1026,114,1,10
49,1026,115,1,0
50,1027,101,1,15
51,1028,109,1,5
52,1028,113,2,0
53,1029,103,1,0
54,1029,107,1,10
55,1029,112,1,20
56,1030,102,1,5
57,1030,106,1,0
58,1030,111,1,10
