tellimus_id,klient_id,kuupäev,staatus,makseviis,tarneviis
1001,7,2026-01-12,Täidetud,Pangalink,Pakiautomaat
1002,14,2026-01-15,Täidetud,Krediitkaart,Kuller
1003,3,2026-01-22,Ootel,Pangalink,Pakiautomaat
1004,22,2026-01-29,Täidetud,Apple Pay,Tulen ise järele
1005,12,2026-02-03,Tühistatud,Arve,Kuller
1006,5,2026-02-14,Täidetud,Pangalink,Pakiautomaat
1007,19,2026-02-20,Täidetud,Krediitkaart,Pakiautomaat
1008,1,2026-02-28,Täidetud,Apple Pay,Tulen ise järele
1009,28,2026-03-05,Ootel,Arve,Kuller
1010,11,2026-03-12,Täidetud,Pangalink,Pakiautomaat
1011,17,2026-03-19,Täidetud,Krediitkaart,Pakiautomaat
1012,25,2026-03-25,Tühistatud,Pangalink,Pakiautomaat
1013,8,2026-04-02,Täidetud,Apple Pay,Kuller
1014,30,2026-04-09,Täidetud,Pangalink,Pakiautomaat
1015,2,2026-04-15,Täidetud,Krediitkaart,Pakiautomaat
1016,15,2026-04-22,Ootel,Arve,Kuller
1017,9,2026-04-30,Täidetud,Pangalink,Tulen ise järele
1018,21,2026-05-05,Täidetud,Apple Pay,Pakiautomaat
1019,13,2026-05-12,Täidetud,Krediitkaart,Kuller
1020,4,2026-05-18,Tühistatud,Pangalink,Pakiautomaat
1021,26,2026-05-24,Täidetud,Pangalink,Pakiautomaat
1022,18,2026-06-01,Täidetud,Krediitkaart,Kuller
1023,6,2026-06-07,Ootel,Arve,Pakiautomaat
1024,29,2026-06-15,Täidetud,Apple Pay,Tulen ise järele
1025,23,2026-06-22,Täidetud,Pangalink,Pakiautomaat
1026,10,2026-06-28,Täidetud,Krediitkaart,Pakiautomaat
1027,27,2026-07-02,Tühistatud,Pangalink,Kuller
1028,16,2026-07-09,Täidetud,Apple Pay,Pakiautomaat
1029,24,2026-07-15,Täidetud,Pangalink,Pakiautomaat
1030,20,2026-07-22,Täidetud,Krediitkaart,Kuller
