tellimus_rida_id,tellimus_id,toode_id,kogus,allahindlus_pct
59,2001,109,1,15
60,2001,114,3,5
61,2001,113,1,15
62,2002,103,3,15
63,2002,105,1,0
64,2003,111,3,0
65,2003,107,3,20
66,2003,112,3,10
67,2004,114,3,20
68,2005,102,1,0
69,2006,111,1,0
70,2007,114,3,0
71,2007,108,1,15
72,2008,111,1,0
73,2008,104,2,20
74,2008,108,1,15
75,2009,115,3,0
76,2009,109,2,0
77,2009,102,1,20
78,2010,104,1,0
79,2010,112,2,5
80,2011,102,1,20
81,2011,108,1,10
82,2012,102,3,0
83,2013,105,1,10
84,2013,111,3,0
85,2014,108,1,5
86,2015,111,1,15
87,2015,102,2,0
88,2016,105,2,20
89,2016,108,1,10
90,2016,114,1,0
91,2017,115,2,0
92,2018,108,3,5
93,2018,102,1,5
94,2019,115,1,0
95,2020,102,3,0
96,2020,103,1,0
97,2020,112,3,20
98,2021,105,1,0
99,2021,102,2,5
100,2021,112,2,0
101,2022,101,2,15
102,2023,107,1,5
103,2023,105,1,5
104,2024,102,1,0
105,2024,114,1,20
106,2025,114,1,0
107,2025,107,1,15
108,2026,105,1,5
109,2026,106,2,20
110,2027,102,1,20
111,2027,106,1,0
112,2027,107,1,0
113,2028,111,1,0
114,2028,103,2,10
115,2029,104,1,20
116,2029,113,2,0
117,2030,115,3,0
118,2030,109,1,0
119,2031,108,1,15
120,2031,110,1,5
121,2032,115,3,0
122,2033,108,2,0
123,2034,105,1,5
124,2034,115,1,0
125,2035,109,2,0
126,2035,111,1,15
127,2036,102,1,10
128,2037,109,2,0
129,2037,104,2,5
130,2038,109,1,0
131,2039,103,1,10
132,2040,106,1,0
133,3001,113,1,0
134,3001,110,2,5
135,3002,112,1,5
136,3002,109,1,0
137,3003,108,1,10
138,3004,103,3,10
139,3004,111,1,0
140,3005,115,2,5
141,3005,104,2,5
142,3006,114,1,0
143,3006,115,1,5
144,3007,110,1,0
145,3007,108,2,20
146,3008,114,1,20
147,3008,108,1,0
148,3008,115,1,0
149,3009,111,2,0
150,3009,102,3,20
151,3009,112,1,0
152,3010,104,3,0
153,3011,103,1,10
154,3011,111,2,15
155,3012,102,1,0
156,3013,110,1,0
157,3013,104,3,0
158,3013,107,1,10
159,3014,108,1,15
160,3014,105,1,5
161,3015,104,1,5
162,3015,109,1,0
163,3015,115,1,0
164,3016,115,2,0
165,3016,111,1,0
166,3017,115,1,5
167,3017,106,1,15
168,3018,112,1,15
169,3018,107,2,0
170,3019,113,1,15
171,3020,102,1,0
172,3020,104,1,0
173,3020,108,2,0
174,3021,113,1,10
175,3021,105,2,10
176,3022,115,1,5
177,3023,115,1,10
178,3023,111,1,5
179,3024,104,1,10
180,3025,107,1,15
181,3026,103,2,5
182,3027,112,1,0
183,3027,102,1,0
184,3028,111,3,15
185,3029,101,2,20
186,3029,105,1,0
187,3030,103,1,0
188,3030,102,1,0
189,3031,107,3,20
190,3031,102,1,5
191,3032,113,1,20
192,3032,114,2,0
193,3033,112,2,0
194,3034,109,1,0
195,3034,108,1,15
196,3035,101,2,0
197,3035,111,2,0
198,3036,101,1,20
199,3036,108,1,0
200,3037,112,1,10
201,3038,106,1,10
202,3038,105,1,0
203,3039,115,1,0
204,3039,105,3,20
205,3040,101,1,0
206,1031,112,2,20
207,1031,108,1,5
208,1032,103,1,0
209,1032,108,1,20
210,1033,110,1,0
211,1034,108,3,0
212,1034,106,3,0
213,1035,113,1,5
214,1035,103,1,15
215,1036,108,3,10
216,1037,103,1,0
217,1037,107,1,10
218,1038,104,1,5
219,1039,112,1,0
220,1039,108,1,5
221,1040,110,1,15
222,1040,111,3,20
223,1041,113,1,0
224,1042,110,1,0
225,1042,105,1,0
226,1043,104,1,0
227,1043,103,1,0
228,1044,104,2,0
229,1044,106,1,10
230,1044,102,3,0
231,1045,111,2,0
232,1046,101,2,20
233,1047,114,2,0
234,1048,115,1,0
235,1049,101,1,10
236,1050,104,3,20
237,1050,102,1,5
238,1050,106,3,0
239,1051,102,3,15
240,1052,106,1,0
241,1052,104,1,0
242,1052,101,1,0
243,1053,110,1,20
244,1054,114,1,5
245,1055,103,1,0
246,1055,110,1,0
247,1056,109,1,5
248,1056,108,1,20
249,1057,111,1,15
250,1057,109,3,0
251,1058,107,1,5
252,1059,111,2,0
253,1059,105,1,15
254,1060,115,2,0
255,1060,106,1,15
256,1060,107,1,5
